departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-01-05,CN DSR,SZX,USSTL,OCEAN,LCL,6764.1816,41.18768,SC,37.36,N,Sort,NEW,gl_wireless,25
2020-01-12,CN DSR,SZX,USLGB,OCEAN,LCL,7873.856744186047,40.74427906976744,SC,22.27906976744186,N,Sort,NEW,gl_toy,43
2020-01-19,CN DSR,SZX,USOAK,OCEAN,LCL,6963.718148148148,45.46314814814815,SC,21.703703703703702,N,Sort,NEW,gl_wireless,54
2020-01-26,US DSR,CNZUH,USOAK,OCEAN,LCL,10061.965846153847,44.06,SC,26.56923076923077,N,Sort,NEW,gl_wireless,65
2020-02-02,CN DSR,CNYTN,USLAX,OCEAN,LCL,7557.28125,42.44591666666667,SC,29.125,N,Sort,NEW,gl_sports,24
2020-02-09,CN DSR,CNXMN,USLAX,OCEAN,LCL,2803.566666666667,24.926666666666666,SC,26.666666666666668,N,Sort,Existing,gl_wireless,3
2020-02-16,CN DSR,HKG,LAX,OCEAN,FCL,1582.5833333333333,24.540000000000003,AGL,14.333333333333334,N,Sort,NEW,gl_pc,3
2020-02-23,US DSR,SZX,USLAX,OCEAN,FCL,8476.17,52.309000000000005,SC,23.5,N,Sort,NEW,gl_toy,10
2020-03-01,CN DSR,PVG,USSTL,OCEAN,LCL,7254.045238095238,42.268095238095235,SC,21.333333333333332,N,Sort,NEW,gl_toy,21
2020-03-08,US DSR,SZX,USLGB,OCEAN,LCL,6967.668378378378,39.19172972972973,SC,24.783783783783782,N,Sort,NEW,gl_wireless,37
2020-03-15,CN DSR,HKG,USOAK,OCEAN,LCL,7130.278709677419,38.321290322580644,SC,23.903225806451612,N,Sort,NEW,gl_wireless,31
2020-03-22,CN DSR,PVG,USLAX,OCEAN,LCL,7867.098292682927,40.65512195121951,SC,25.29268292682927,N,Sort,NEW,gl_tools,41
2020-03-29,CN DSR,SZX,USLAX,OCEAN,LCL,7837.758139534883,42.47630232558139,SC,26.348837209302324,N,Sort,NEW,gl_wireless,43
2020-04-05,CN DSR,HKG,USOAK,OCEAN,LCL,7407.340740740741,42.08662962962963,SC,25.962962962962962,N,Sort,NEW,gl_tools,27
2020-04-12,CN DSR,HKG,USLAX,OCEAN,LCL,9315.263333333332,52.477619047619044,SC,23.571428571428573,N,Sort,NEW,gl_wireless,21
2020-04-19,CN DSR,PVG,USLGB,OCEAN,LCL,7788.51935483871,42.880322580645164,SC,23.903225806451612,N,Sort,NEW,gl_wireless,31
2020-04-26,CN DSR,HKG,USSTL,OCEAN,LCL,7354.602391304348,41.13730434782609,SC,23.52173913043478,N,Sort,NEW,gl_wireless,46
2020-05-03,US DSR,HKG,USOAK,OCEAN,LCL,8296.933035714286,46.911071428571425,SC,24.535714285714285,N,Sort,NEW,gl_wireless,56
2020-05-10,CN DSR,SZX,USOAK,OCEAN,LCL,7828.9918867924525,42.74396226415094,SC,24.0188679245283,N,Sort,NEW,gl_wireless,53
2020-05-17,CN DSR,HKG,USSTL,OCEAN,LCL,6811.354210526316,36.427368421052634,SC,23.964912280701753,N,Sort,NEW,gl_tools,57
2020-05-24,CN DSR,HKG,USSTL,OCEAN,LCL,8166.5435,44.98725,SC,22.9875,N,Sort,NEW,unknown,80
2020-05-31,US DSR,PVG,USSTL,OCEAN,LCL,12033.806533333332,46.20177333333333,SC,28.36,N,Sort,NEW,gl_toy,75
2020-06-07,US DSR,HKG,USOAK,OCEAN,LCL,9090.06288888889,45.04822222222222,SC,35.32222222222222,N,Sort,NEW,gl_wireless,90
2020-06-14,CN DSR,HKG,USSAV,OCEAN,LCL,8414.941978021978,46.917582417582416,SC,36.747252747252745,N,Sort,NEW,gl_toy,91
2020-06-21,CN DSR,HKG,USSAV,OCEAN,LCL,10056.077441860465,49.67941860465117,SC,41.604651162790695,N,Sort,NEW,gl_wireless,86
2020-06-28,CN DSR,SZX,USSTL,OCEAN,LCL,8520.504166666668,48.7833125,SC,39.510416666666664,N,Sort,NEW,gl_wireless,96
2020-07-05,EU DSR,PVG,USSAV,OCEAN,LCL,8786.487272727272,47.8514025974026,SC,36.83116883116883,N,Sort,NEW,gl_wireless,77
2020-07-12,US DSR,PVG,USSTL,OCEAN,LCL,8526.363555555556,41.40211111111111,SC,33.044444444444444,N,Sort,NEW,gl_toy,90
2020-07-19,CN DSR,PVG,USOAK,OCEAN,LCL,7692.213177570094,42.06277570093457,SC,30.55140186915888,N,Sort,NEW,gl_wireless,107
2020-07-26,EU DSR,SZX,USSAV,OCEAN,LCL,7405.952659574468,40.29894680851064,SC,30.574468085106382,N,Sort,NEW,gl_wireless,94
2020-08-02,US DSR,PVG,USSTL,OCEAN,LCL,9940.295238095237,44.63418095238095,SC,34.57142857142857,N,Sort,NEW,gl_wireless,105
2020-08-09,US DSR,PVG,USTAC,OCEAN,LCL,8740.443461538462,45.86201923076923,SC,36.19230769230769,N,Sort,NEW,gl_wireless,104
2020-08-16,CN DSR,PVG,USSTL,OCEAN,LCL,10700.088865979382,44.73876288659794,SC,36.1958762886598,N,Sort,NEW,gl_wireless,97
2020-08-23,EU DSR,PVG,USSAV,OCEAN,LCL,8545.400714285715,43.042163265306115,SC,33.10204081632653,N,Sort,NEW,gl_wireless,98
2020-08-30,CN DSR,HKG,USSTL,OCEAN,LCL,9250.299846153846,49.10795384615384,SC,38.66153846153846,N,Sort,NEW,gl_wireless,130
2020-09-06,CN DSR,HKG,USLGB,OCEAN,LCL,8500.59,44.09663265306123,SC,34.93877551020408,N,Sort,NEW,gl_wireless,98
2020-09-13,US DSR,PVG,USSTL,OCEAN,LCL,7451.032389380532,41.77017699115044,SC,33.11504424778761,N,Sort,NEW,gl_wireless,113
2020-09-20,CN DSR,SZX,USOAK,OCEAN,LCL,8322.536779661017,44.81398305084746,SC,31.364406779661017,N,Sort,NEW,gl_wireless,118
2020-09-27,CN DSR,PVG,USSTL,OCEAN,LCL,7823.2217699115035,44.43850442477876,SC,31.20353982300885,N,Sort,NEW,gl_wireless,113
2020-10-04,CN DSR,PVG,USLGB,OCEAN,LCL,8221.119037037037,46.797022222222225,SC,31.511111111111113,N,Sort,NEW,gl_wireless,135
2020-10-11,US DSR,HKG,USNYC,OCEAN,LCL,7793.842201834863,44.11108256880734,SC,36.91743119266055,N,Sort,NEW,gl_wireless,109
2020-10-18,EU DSR,XMN,USLAX,OCEAN,LCL,6489.9574,35.519,SC,26.0,N,Sort,NEW,gl_wireless,50
2020-10-25,CN DSR,XMN,USOAK,OCEAN,LCL,7005.167383177571,41.41953271028038,SC,31.177570093457945,N,Sort,NEW,gl_wireless,107
2020-11-01,US DSR,PVG,USSTL,OCEAN,LCL,7132.1723529411765,39.14640336134453,SC,32.57983193277311,Y,Sort,NEW,gl_wireless,119
2020-11-08,US DSR,SZX,USSBT,OCEAN,LCL,7861.815420560748,42.83283177570094,SC,34.32710280373832,N,Sort,NEW,gl_wireless,107
2020-11-15,US DSR,PVG,USSAV,OCEAN,LCL,7544.223826086956,46.513060869565216,SC,37.18260869565217,N,Sort,NEW,gl_wireless,115
2020-11-22,US DSR,PVG,USSEA,OCEAN,LCL,7633.679528301887,38.75602830188679,SC,36.12264150943396,N,Sort,NEW,gl_wireless,106
2020-11-29,EU DSR,PVG,USSTL,OCEAN,LCL,7888.670470588235,39.316729411764705,SC,36.77647058823529,N,Sort,NEW,gl_toy,85
2020-12-06,US DSR,SZX,USSAV,OCEAN,LCL,6880.129705882353,35.69324509803921,SC,32.911764705882355,N,Sort,NEW,gl_wireless,102
2020-12-13,CN DSR,SZX,USSAV,OCEAN,LCL,6091.142702702703,33.01516216216216,SC,30.094594594594593,N,Sort,NEW,gl_wireless,74
2020-12-20,US DSR,SZX,USSEA,OCEAN,LCL,8581.389722222222,42.936787037037035,SC,36.55555555555556,N,Sort,NEW,gl_wireless,108
2020-12-27,US DSR,SZX,USSAV,OCEAN,LCL,7015.9878125,41.1413125,SC,38.25,N,Sort,NEW,gl_wireless,96
2021-01-03,US DSR,PVG,USSAV,OCEAN,LCL,7049.073802816902,39.64925352112677,SC,33.76056338028169,N,Sort,NEW,gl_wireless,71
2021-01-10,CN DSR,HKG,USSEA,OCEAN,LCL,7142.92950617284,42.84349382716049,SC,32.69135802469136,N,Sort,NEW,gl_wireless,81
2021-01-17,CN DSR,XMN,USSTL,OCEAN,LCL,6533.570625,34.375375,SC,31.833333333333332,N,Sort,NEW,gl_wireless,96
2021-01-24,CN DSR,SZX,USSEA,OCEAN,LCL,7995.197777777778,43.7652,SC,36.46666666666667,N,Sort,NEW,gl_wireless,90
