departure_date,order number
2020-01-12,2
2020-01-19,5
2020-01-26,4
2020-02-02,1
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,2
2020-03-08,0
2020-03-15,1
2020-03-22,2
2020-03-29,2
2020-04-05,4
2020-04-12,2
2020-04-19,0
2020-04-26,5
2020-05-03,5
2020-05-10,0
2020-05-17,3
2020-05-24,7
2020-05-31,5
2020-06-07,4
2020-06-14,5
2020-06-21,7
2020-06-28,11
2020-07-05,12
2020-07-12,8
2020-07-19,7
2020-07-26,9
2020-08-02,13
2020-08-09,9
2020-08-16,17
2020-08-23,13
2020-08-30,13
2020-09-06,8
2020-09-13,7
2020-09-20,8
2020-09-27,10
2020-10-04,10
2020-10-11,9
2020-10-18,3
2020-10-25,9
2020-11-01,10
2020-11-08,9
2020-11-15,8
2020-11-22,10
2020-11-29,9
2020-12-06,9
2020-12-13,4
2020-12-20,10
2020-12-27,5
2021-01-03,3
2021-01-10,12
2021-01-17,11
2021-01-24,10
2021-01-31,14
2021-02-07,6
2021-02-14,8
2021-02-21,5
2021-02-28,7
2021-03-07,4
2021-03-14,5
2021-03-21,6
2021-03-28,10
2021-04-04,13
2021-04-11,8
2021-04-18,8
2021-04-25,4
2021-05-02,13
2021-05-09,6
2021-05-16,6
2021-05-23,5
2021-05-30,5
2021-06-06,9
2021-06-13,5
2021-06-20,12
2021-06-27,6
2021-07-04,7
2021-07-11,7
2021-07-18,8
2021-07-25,4
2021-08-01,3
2021-08-08,4
2021-08-15,8
2021-08-22,8
2021-08-29,5
2021-09-05,9
2021-09-12,6
2021-09-19,14
2021-09-26,12
2021-10-03,9
2021-10-10,7
2021-10-17,8
2021-10-24,5
2021-10-31,13
2021-11-07,3
2021-11-14,4
2021-11-21,2
2021-11-28,4
2021-12-05,3
2021-12-12,0
2021-12-19,1
