departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-01-12,CN DSR,CNSHA,USCHI,OCEAN,FCL,13630.6,62.96,AGL,27.0,N,NonSort,NEW,gl_furniture,2
2020-01-19,CN DSR,CNXMN,USLAX,OCEAN,LCL,7687.4,54.098,SC,23.8,N,Sort,NEW,gl_furniture,5
2020-01-26,CN DSR,CNYTN,USHOU,OCEAN,FCL,14519.1875,63.2725,AGL,24.75,N,Sort,NEW,gl_furniture,4
2020-02-02,CN DSR,CNXMN,USLAX,OCEAN,FCL,13600.0,55.0,SC,30.0,N,HB,Existing,gl_furniture,1
2020-02-09,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-03-01,CN DSR,CNYTN,USLAX,OCEAN,FCL,2800.5,30.5,AGL,22.0,N,Sort,NEW,gl_furniture,2
2020-03-08,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-03-15,CN DSR,CNNGB,USLAX,OCEAN,FCL,17000.0,68.0,AGL,35.0,N,Sort,NEW,gl_furniture,1
2020-03-22,CN DSR,CNYTN,USLAX,OCEAN,FCL,13000.0,67.5,AGL,23.5,N,Sort,NEW,gl_furniture,2
2020-03-29,CN DSR,CNYTN,USLAX,OCEAN,LCL,9715.0,44.95,AGL,23.5,N,Sort,NEW,gl_furniture,2
2020-04-05,CN DSR,CNTAO,USLAX,OCEAN,FCL,16566.25,66.75,AGL,29.0,N,Sort,NEW,gl_furniture,4
2020-04-12,CN DSR,CNYTN,USLAX,OCEAN,FCL,11700.0,59.5,AGL,22.0,N,Sort,NEW,gl_furniture,2
2020-04-19,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-04-26,CN DSR,CNSZX,USOAK,OCEAN,LCL,11944.292,61.291999999999994,SC,30.0,N,Sort,NEW,gl_furniture,5
2020-05-03,CN DSR,CNYTN,USMKC,OCEAN,FCL,11616.788,62.944,AGL,28.4,N,Sort,NEW,gl_furniture,5
2020-05-10,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-05-17,CN DSR,CNYTN,USLGB,OCEAN,LCL,8258.873333333333,47.46,AGL,24.0,N,Sort,NEW,gl_furniture,3
2020-05-24,CN DSR,CNYTN,USLGB,OCEAN,LCL,14993.285714285714,72.38,SC,27.428571428571427,N,Sort,NEW,gl_furniture,7
2020-05-31,CN DSR,CNYTN,USSTL,OCEAN,FCL,18068.2,61.4,AGL,33.4,N,Sort,NEW,gl_furniture,5
2020-06-07,CN DSR,CNYTN,USMKC,OCEAN,FCL,18784.5,95.66,SC,30.25,N,Sort,NEW,gl_furniture,4
2020-06-14,CN DSR,HKG,USSAV,OCEAN,FCL,9854.01,50.428000000000004,SC,31.8,N,Sort,NEW,gl_furniture,5
2020-06-21,CN DSR,CNYTN,USSAV,OCEAN,FCL,14123.614285714286,83.22857142857143,AGL,51.57142857142857,N,Sort,NEW,gl_furniture,7
2020-06-28,CN DSR,CNYTN,USSTL,OCEAN,LCL,12520.927272727275,59.74818181818182,SC,39.72727272727273,N,Sort,NEW,gl_furniture,11
2020-07-05,CN DSR,CNYTN,USLGB,OCEAN,LCL,12539.555,61.280833333333334,SC,39.583333333333336,N,Sort,NEW,gl_furniture,12
2020-07-12,CN DSR,CNYTN,USSTL,OCEAN,LCL,10459.025,58.52625,SC,34.625,N,Sort,NEW,gl_furniture,8
2020-07-19,CN DSR,CNSZX,USLAX,OCEAN,LCL,12106.005714285713,52.86714285714286,AGL,27.0,N,Sort,NEW,gl_furniture,7
2020-07-26,CN DSR,CNYTN,USSAV,OCEAN,LCL,9637.222222222223,42.745555555555555,SC,32.888888888888886,N,Sort,NEW,gl_furniture,9
2020-08-02,CN DSR,CNYTN,USSTL,OCEAN,LCL,9511.553846153845,54.50461538461538,SC,42.30769230769231,N,Sort,NEW,gl_furniture,13
2020-08-09,CN DSR,CNYTN,USNYC,OCEAN,LCL,11722.111111111111,64.1511111111111,SC,44.333333333333336,N,Sort,NEW,gl_furniture,9
2020-08-16,CN DSR,PVG,USSTL,OCEAN,LCL,9976.931764705882,51.709999999999994,SC,37.0,N,Sort,NEW,gl_furniture,17
2020-08-23,CN DSR,HKG,USSAV,OCEAN,LCL,10862.875384615385,49.026923076923076,SC,30.923076923076923,N,Sort,NEW,gl_furniture,13
2020-08-30,CN DSR,CNYTN,USLAX,OCEAN,LCL,12816.796923076921,60.956923076923076,SC,54.38461538461539,N,Sort,NEW,gl_furniture,13
2020-09-06,CN DSR,CNYTN,USLAX,OCEAN,LCL,11848.25,52.6975,SC,36.125,N,Sort,NEW,gl_furniture,8
