departure_date,order number
2020-01-12,4
2020-01-19,6
2020-01-26,7
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,1
2020-03-01,3
2020-03-08,4
2020-03-15,4
2020-03-22,5
2020-03-29,3
2020-04-05,3
2020-04-12,1
2020-04-19,3
2020-04-26,5
2020-05-03,1
2020-05-10,8
2020-05-17,7
2020-05-24,8
2020-05-31,5
2020-06-07,5
2020-06-14,13
2020-06-21,9
2020-06-28,6
2020-07-05,6
2020-07-12,3
2020-07-19,11
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,7
2020-08-23,5
2020-08-30,6
2020-09-06,10
2020-09-13,7
2020-09-20,7
2020-09-27,9
2020-10-04,10
2020-10-11,10
2020-10-18,3
2020-10-25,6
2020-11-01,16
2020-11-08,6
2020-11-15,9
2020-11-22,6
2020-11-29,5
2020-12-06,8
2020-12-13,3
2020-12-20,10
2020-12-27,5
2021-01-03,6
2021-01-10,6
2021-01-17,10
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,10
2021-02-21,8
2021-02-28,4
2021-03-07,4
2021-03-14,8
2021-03-21,9
2021-03-28,10
2021-04-04,10
2021-04-11,13
2021-04-18,14
2021-04-25,8
2021-05-02,14
2021-05-09,12
2021-05-16,15
2021-05-23,7
2021-05-30,18
2021-06-06,6
2021-06-13,6
2021-06-20,4
2021-06-27,13
2021-07-04,14
2021-07-11,6
2021-07-18,3
2021-07-25,7
2021-08-01,10
2021-08-08,10
2021-08-15,5
2021-08-22,9
2021-08-29,8
2021-09-05,9
2021-09-12,11
2021-09-19,7
2021-09-26,7
2021-10-03,12
2021-10-10,7
2021-10-17,10
2021-10-24,15
2021-10-31,14
2021-11-07,13
2021-11-14,10
2021-11-21,9
2021-11-28,5
2021-12-05,1
2021-12-12,1
2021-12-19,1
