departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-01-12,CN DSR,SZX,USLAX,OCEAN,FCL,5418.25,45.735,AGL,19.0,N,Sort,NEW,gl_home_improvement,4
2020-01-19,CN DSR,SZX,USLGB,OCEAN,LCL,4796.333333333333,30.668333333333333,SC,18.833333333333332,N,Sort,NEW,gl_home_improvement,6
2020-01-26,CN DSR,CNYTN,USLAX,OCEAN,LCL,7645.177142857143,47.14,SC,24.428571428571427,N,Sort,NEW,gl_home_improvement,7
2020-02-02,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-02-23,CN DSR,SZX,LAX,AIR,AIR,164.7,0.73,SC,1.0,N,Sort,Existing,gl_home_improvement,1
2020-03-01,CN DSR,PVG,USLAX,OCEAN,FCL,5712.483333333334,34.5,AGL,14.666666666666666,N,Sort,NEW,gl_home_improvement,3
2020-03-08,US DSR,CNYTN,USLAX,OCEAN,LCL,5022.75,37.865,SC,23.25,N,Sort,NEW,gl_home_improvement,4
2020-03-15,CN DSR,HKG,USLAX,OCEAN,LCL,2570.5,20.785,SC,22.0,N,Sort,NEW,gl_home_improvement,4
2020-03-22,CN DSR,HKG,USLAX,OCEAN,LCL,6503.0,37.75,SC,22.2,N,Sort,NEW,gl_home_improvement,5
2020-03-29,CN DSR,CNTAO,USLAX,OCEAN,LCL,10266.666666666666,44.48333333333333,SC,32.0,N,Sort,NEW,gl_home_improvement,3
2020-04-05,CN DSR,CNYTN,USLAX,OCEAN,LCL,4760.2,40.864,AGL,26.0,N,Sort,NEW,gl_home_improvement,3
2020-04-12,CN DSR,CNYTN,USCHI,OCEAN,FCL,10000.0,50.0,AGL,29.0,N,NonSort,NEW,gl_home_improvement,1
2020-04-19,CN DSR,HKG,USLAX,OCEAN,FCL,2224.3333333333335,39.17333333333334,SC,18.0,N,Sort,NEW,gl_home_improvement,3
2020-04-26,CN DSR,CNYTN,USLGB,OCEAN,LCL,5607.5,38.82,SC,24.0,N,Sort,NEW,gl_home_improvement,5
2020-05-03,CN DSR,CNYTN,USLGB,OCEAN,FCL,10890.0,78.0,AGL,22.0,N,Sort,NEW,gl_home_improvement,1
2020-05-10,CN DSR,CNYTN,USLAX,OCEAN,LCL,5346.0,50.31625,SC,22.75,N,Sort,NEW,gl_home_improvement,8
2020-05-17,CN DSR,CNYTN,USLGB,OCEAN,LCL,4304.428571428572,29.51857142857143,SC,25.285714285714285,N,Sort,NEW,gl_home_improvement,7
2020-05-24,CN DSR,HKG,USLAX,OCEAN,LCL,6946.07,29.66875,SC,23.125,N,Sort,NEW,gl_home_improvement,8
2020-05-31,CN DSR,HKG,USLAX,OCEAN,LCL,7601.947999999999,31.172000000000004,SC,16.8,N,Sort,NEW,gl_home_improvement,5
2020-06-07,CN DSR,HKG,USLAX,OCEAN,LCL,7333.5,36.256,SC,32.0,N,Sort,NEW,gl_home_improvement,5
2020-06-14,CN DSR,CNYTN,USOAK,OCEAN,LCL,10126.97076923077,55.36846153846154,SC,38.84615384615385,N,Sort,NEW,gl_home_improvement,13
2020-06-21,CN DSR,CNYTN,USOAK,OCEAN,LCL,8049.277777777777,50.099999999999994,AGL,42.44444444444444,N,Sort,NEW,gl_home_improvement,9
2020-06-28,CN DSR,HKG,USSTL,OCEAN,LCL,4174.623333333333,38.919999999999995,SC,39.166666666666664,N,Sort,NEW,gl_home_improvement,6
2020-07-05,CN DSR,HKG,USLAX,OCEAN,LCL,5678.650000000001,33.655,SC,26.0,N,Sort,NEW,gl_home_improvement,6
2020-07-12,CN DSR,CNYTN,USSAV,OCEAN,LCL,8056.0,47.06,SC,30.333333333333332,N,Sort,Existing,gl_home_improvement,3
2020-07-19,CN DSR,PVG,USNYC,OCEAN,LCL,6489.354545454545,43.74272727272727,AGL,39.90909090909091,N,Sort,NEW,gl_home_improvement,11
2020-07-26,CN DSR,PVG,USLAX,OCEAN,LCL,6618.533333333333,41.97166666666667,AGL,29.833333333333332,N,Sort,NEW,gl_home_improvement,6
2020-08-02,CN DSR,CNYTN,USLGB,OCEAN,LCL,9740.166666666666,49.675000000000004,SC,34.666666666666664,N,Sort,NEW,gl_home_improvement,6
2020-08-09,CN DSR,CNYTN,USSTL,OCEAN,LCL,7358.433333333333,41.145,AGL,45.0,N,Sort,NEW,gl_home_improvement,6
