departure_date,order number
2020-01-12,5
2020-01-19,11
2020-01-26,14
2020-02-02,5
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,2
2020-03-08,9
2020-03-15,5
2020-03-22,9
2020-03-29,13
2020-04-05,3
2020-04-12,2
2020-04-19,7
2020-04-26,14
2020-05-03,17
2020-05-10,10
2020-05-17,15
2020-05-24,17
2020-05-31,17
2020-06-07,18
2020-06-14,17
2020-06-21,16
2020-06-28,26
2020-07-05,14
2020-07-12,18
2020-07-19,25
2020-07-26,27
2020-08-02,23
2020-08-09,30
2020-08-16,24
2020-08-23,29
2020-08-30,22
2020-09-06,26
2020-09-13,37
2020-09-20,30
2020-09-27,28
2020-10-04,29
2020-10-11,24
2020-10-18,17
2020-10-25,23
2020-11-01,23
2020-11-08,26
2020-11-15,27
2020-11-22,25
2020-11-29,30
2020-12-06,12
2020-12-13,16
2020-12-20,26
2020-12-27,25
2021-01-03,12
2021-01-10,22
2021-01-17,20
2021-01-24,21
2021-01-31,23
2021-02-07,33
2021-02-14,33
2021-02-21,29
2021-02-28,9
2021-03-07,21
2021-03-14,37
2021-03-21,12
2021-03-28,26
2021-04-04,21
2021-04-11,32
2021-04-18,22
2021-04-25,24
2021-05-02,30
2021-05-09,28
2021-05-16,21
2021-05-23,24
2021-05-30,23
2021-06-06,30
2021-06-13,21
2021-06-20,24
2021-06-27,36
2021-07-04,17
2021-07-11,34
2021-07-18,18
2021-07-25,12
2021-08-01,24
2021-08-08,22
2021-08-15,22
2021-08-22,30
2021-08-29,23
2021-09-05,30
2021-09-12,32
2021-09-19,40
2021-09-26,58
2021-10-03,31
2021-10-10,26
2021-10-17,36
2021-10-24,33
2021-10-31,24
2021-11-07,19
2021-11-14,28
2021-11-21,20
2021-11-28,11
2021-12-05,8
2021-12-12,0
2021-12-19,1
