departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-01-12,CN DSR,CNSHA,USLAX,OCEAN,LCL,7493.780000000001,35.2004,SC,23.6,N,Sort,NEW,gl_home,5
2020-01-19,CN DSR,CNYTN,USLAX,OCEAN,LCL,8737.40909090909,58.93636363636363,SC,28.09090909090909,N,Sort,NEW,gl_home,11
2020-01-26,US DSR,CNYTN,USLAX,OCEAN,LCL,7801.507857142858,39.394214285714284,SC,21.857142857142858,N,Sort,NEW,gl_home,14
2020-02-02,CN DSR,CNTAO,USLAX,OCEAN,FCL,11265.810000000001,64.44,AGL,27.2,N,Sort,NEW,gl_home,5
2020-02-09,CN DSR,CNXMN,USLAX,OCEAN,FCL,5500.0,68.0,AGL,31.0,N,NonSort,Existing,gl_home,1
2020-02-16,CN DSR,CAN,LAX,AIR,AIR,537.75,2.58,AGL,3.0,N,Sort,Existing,gl_home,1
2020-02-23,CN DSR,CNYTN,USLAX,OCEAN,FCL,8000.0,60.0,AGL,29.0,N,Sort,NEW,gl_home,1
2020-03-01,CN DSR,CNYTN,USLGB,OCEAN,LCL,3852.5,44.3,SC,19.0,N,Sort,NEW,gl_home,2
2020-03-08,CN DSR,SZX,USLAX,OCEAN,LCL,7815.4911111111105,38.815555555555555,SC,27.666666666666668,N,Sort,NEW,gl_home,9
2020-03-15,CN DSR,HKG,USMKC,OCEAN,LCL,2987.192,24.646,SC,23.0,N,Sort,Existing,gl_home,5
2020-03-22,CN DSR,PVG,USLAX,OCEAN,LCL,7732.888888888889,38.18555555555556,AGL,24.11111111111111,N,Sort,NEW,gl_home,9
2020-03-29,CN DSR,CNYTN,USLAX,OCEAN,LCL,8523.853076923077,46.223076923076924,AGL,29.0,N,Sort,NEW,gl_home,13
2020-04-05,CN DSR,HKG,USLAX,OCEAN,FCL,5758.599999999999,43.14666666666667,SC,24.666666666666668,N,Sort,NEW,gl_home,3
2020-04-12,CN DSR,CNSHA,USLAX,OCEAN,FCL,8477.5,61.42,SC,22.0,N,Sort,Existing,gl_home,2
