departure_date,order number
2020-01-12,2
2020-01-19,5
2020-01-26,2
2020-02-02,3
2020-02-09,1
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,3
2020-03-22,2
2020-03-29,3
2020-04-05,3
2020-04-12,1
2020-04-19,3
2020-04-26,2
2020-05-03,2
2020-05-10,6
2020-05-17,4
2020-05-24,5
2020-05-31,9
2020-06-07,11
2020-06-14,6
2020-06-21,8
2020-06-28,8
2020-07-05,6
2020-07-12,7
2020-07-19,10
2020-07-26,4
2020-08-02,7
2020-08-09,10
2020-08-16,8
2020-08-23,8
2020-08-30,13
2020-09-06,6
2020-09-13,8
2020-09-20,8
2020-09-27,14
2020-10-04,15
2020-10-11,5
2020-10-18,4
2020-10-25,13
2020-11-01,7
2020-11-08,9
2020-11-15,18
2020-11-22,10
2020-11-29,4
2020-12-06,9
2020-12-13,8
2020-12-20,9
2020-12-27,3
2021-01-03,7
2021-01-10,4
2021-01-17,5
2021-01-24,8
2021-01-31,12
2021-02-07,11
2021-02-14,5
2021-02-21,7
2021-02-28,6
2021-03-07,3
2021-03-14,11
2021-03-21,17
2021-03-28,18
2021-04-04,7
2021-04-11,10
2021-04-18,17
2021-04-25,11
2021-05-02,17
2021-05-09,13
2021-05-16,6
2021-05-23,8
2021-05-30,16
2021-06-06,2
2021-06-13,9
2021-06-20,6
2021-06-27,15
2021-07-04,7
2021-07-11,9
2021-07-18,10
2021-07-25,10
2021-08-01,5
2021-08-08,5
2021-08-15,9
2021-08-22,8
2021-08-29,6
2021-09-05,17
2021-09-12,11
2021-09-19,31
2021-09-26,15
2021-10-03,13
2021-10-10,4
2021-10-17,8
2021-10-24,13
2021-10-31,9
2021-11-07,10
2021-11-14,6
2021-11-21,8
2021-11-28,3
2021-12-05,1
2021-12-12,0
2021-12-19,0
