departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-01-12,CN DSR,CNSZX,USLAX,OCEAN,LCL,3658.0,19.685000000000002,SC,22.5,N,Sort,Existing,gl_kitchen,2
2020-01-19,CN DSR,CNYTN,USLAX,OCEAN,LCL,11450.68,41.878,AGL,20.0,N,Sort,NEW,gl_kitchen,5
2020-01-26,CN DSR,CNYTN,USLAX,OCEAN,FCL,14500.0,62.5,AGL,21.5,N,Sort,NEW,gl_kitchen,2
2020-02-02,CN DSR,CNYTN,USLAX,OCEAN,LCL,7742.0,48.25,AGL,24.0,N,Sort,NEW,gl_kitchen,3
2020-02-09,CN DSR,CNSHA,USLAX,OCEAN,LCL,565.7,3.08,SC,19.0,N,Sort,Existing,gl_kitchen,1
2020-02-16,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
2020-03-15,CN DSR,CNXMN,USLAX,OCEAN,LCL,7124.959999999999,27.623333333333335,SC,27.333333333333332,N,Sort,NEW,gl_kitchen,3
2020-03-22,CN DSR,CNSZX,USLAX,OCEAN,LCL,2315.69,13.665,AGL,25.5,N,Sort,Existing,gl_kitchen,2
2020-03-29,CN DSR,CNYTN,USLAX,OCEAN,LCL,8862.333333333334,51.09,AGL,25.0,N,Sort,NEW,gl_kitchen,3
2020-04-05,CN DSR,CNSZX,USOAK,OCEAN,LCL,6047.0,22.906666666666666,SC,24.333333333333332,N,Sort,NEW,gl_kitchen,3
2020-04-12,CN DSR,CNSHA,USCHI,OCEAN,LCL,1454.53,9.11,AGL,21.0,N,NonSort,Existing,gl_kitchen,1
2020-04-19,CN DSR,CNYTN,USLAX,OCEAN,FCL,13500.0,37.666666666666664,AGL,21.333333333333332,N,Sort,NEW,gl_kitchen,3
2020-04-26,CN DSR,CNNGB,USLAX,OCEAN,FCL,10715.0,69.0,SC,27.5,N,Sort,NEW,gl_kitchen,2
2020-05-03,CN DSR,CNYTN,USOAK,OCEAN,LCL,5312.715,39.845,SC,30.5,N,Sort,Existing,gl_kitchen,2
