departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-01-12,CN DSR,CNYTN,USLGB,OCEAN,LCL,8161.891333333333,40.92573333333333,SC,22.166666666666668,N,Sort,NEW,others,30
2020-01-19,CN DSR,SZX,USOAK,OCEAN,LCL,5757.810370370371,42.32666666666666,SC,19.666666666666668,N,Sort,NEW,others,27
2020-01-26,CN DSR,CNZUH,USOAK,OCEAN,LCL,10637.202105263157,42.21871052631579,SC,29.157894736842106,N,Sort,NEW,others,38
2020-02-02,CN DSR,CNYTN,USLAX,OCEAN,LCL,5881.3133333333335,33.1168,SC,30.733333333333334,N,Sort,NEW,others,15
2020-02-09,CN DSR,CNSZX,USLAX,OCEAN,LCL,2345.0,3.7,AGL,30.0,N,Sort,Existing,others,1
2020-02-16,CN DSR,HKG,LAX,OCEAN,FCL,2105.0,35.52,AGL,20.0,N,Sort,NEW,others,2
2020-02-23,US DSR,CNYTN,USLAX,OCEAN,FCL,9574.625,57.795,SC,25.625,N,Sort,NEW,others,8
2020-03-01,CN DSR,CNYTN,USSTL,OCEAN,LCL,8706.535714285714,45.32357142857143,SC,23.0,N,Sort,NEW,others,14
2020-03-08,CN DSR,HKG,USLGB,OCEAN,LCL,6973.887916666667,39.553916666666666,SC,23.958333333333332,N,Sort,NEW,others,24
2020-03-15,CN DSR,HKG,USOAK,OCEAN,LCL,8746.988888888889,46.15111111111111,SC,23.38888888888889,N,Sort,NEW,others,18
2020-03-22,CN DSR,PVG,USLAX,OCEAN,LCL,8252.55,42.26565217391305,SC,26.565217391304348,N,Sort,NEW,others,23
2020-03-29,CN DSR,SZX,USLAX,OCEAN,LCL,6790.750454545455,38.589136363636364,SC,24.454545454545453,N,Sort,NEW,others,22
2020-04-05,CN DSR,HKG,USLGB,OCEAN,LCL,6002.557142857143,39.18478571428572,SC,25.714285714285715,N,Sort,NEW,others,14
2020-04-12,CN DSR,HKG,USLAX,OCEAN,LCL,9587.4,53.40533333333334,AGL,23.8,N,Sort,NEW,others,15
2020-04-19,CN DSR,HKG,USLGB,OCEAN,LCL,7877.605555555555,42.87888888888889,SC,25.5,N,Sort,NEW,others,18
2020-04-26,CN DSR,HKG,USLAX,OCEAN,LCL,5097.6315,26.381,SC,20.1,N,Sort,NEW,others,20
2020-05-03,US DSR,HKG,USOAK,OCEAN,LCL,6883.738387096774,38.04741935483871,SC,23.322580645161292,N,Sort,NEW,others,31
2020-05-10,CN DSR,SZX,USLAX,OCEAN,LCL,8518.134137931034,38.589999999999996,SC,23.344827586206897,N,Sort,NEW,others,29
2020-05-17,CN DSR,HKG,USSTL,OCEAN,LCL,7369.643571428571,36.77964285714285,SC,24.392857142857142,N,Sort,NEW,others,28
2020-05-24,CN DSR,HKG,USNYC,OCEAN,LCL,8033.877441860464,42.53813953488372,SC,21.023255813953487,N,Sort,NEW,others,43
2020-05-31,US DSR,PVG,USOAK,OCEAN,LCL,13411.685897435897,39.02238461538462,SC,25.974358974358974,N,Sort,NEW,others,39
2020-06-07,US DSR,HKG,USOAK,OCEAN,LCL,8622.159615384615,35.99,SC,36.78846153846154,N,Sort,NEW,others,52
